case_id,degree,h_nm,mode_count_per_direction,mpi_ranks,requirement,prediction_center_gib,prediction_upper_gib,effective_hard_limit_gib,launch_decision,status,total_dofs,local_fe_dofs,total_rows,assembled_nnz,peak_rss_gib,wall_time_s,accuracy_baseline,error_metric,error_value,data_identity,evidence_record,notes
p1_h5,1,5,not_run,not_run,removed_by_reduced_scope,not_run,not_run,13.6485,do_not_run,removed_by_reduced_scope,not_run,not_run,not_run,not_run,not_run,not_run,not_run,not_run,not_run,historical_planning_only,review_report_v5.md,removed because it has no remaining decision value
p1_h3,1,3,not_run,not_run,removed_by_reduced_scope,not_run,not_run,13.6485,do_not_run,removed_by_reduced_scope,not_run,not_run,not_run,not_run,not_run,not_run,not_run,not_run,not_run,historical_planning_only,review_report_v5.md,removed because it has no remaining decision value
p1_h2p5,1,2.5,not_run,not_run,removed_by_reduced_scope,not_run,not_run,13.6485,do_not_run,removed_by_reduced_scope,not_run,not_run,not_run,not_run,not_run,not_run,not_run,not_run,not_run,historical_planning_only,review_report_v5.md,removed because it has no remaining decision value
p1_h2,1,2,not_run,not_run,removed_by_reduced_scope,not_run,not_run,13.6485,do_not_run,removed_by_reduced_scope,not_run,not_run,not_run,not_run,not_run,not_run,not_run,not_run,not_run,historical_planning_only,review_report_v5.md,removed because it has no remaining decision value
p1_h1p5,1,1.5,not_run,not_run,removed_by_reduced_scope,not_run,not_run,13.6485,do_not_run,removed_by_reduced_scope,not_run,not_run,not_run,not_run,not_run,not_run,not_run,not_run,not_run,historical_planning_only,review_report_v5.md,removed because it has no remaining decision value
p2_h5,2,5,160,4,reuse_measured_baseline,measured,measured,13.6485,reuse_no_rerun,reused_measured_baseline,44778,13652,14052,2000624,1.697712,60.91,p3_h5_provisional_reference,pending_D1_cross_grid_summary,pending,measured_task032,case080 full3d_h5_reference + memory_h5_schur_minimal,baseline retained without rerun
p2_h3,2,3,160,4,reuse_measured_baseline,measured,measured,13.6485,reuse_no_rerun,reused_measured_baseline,198518,68396,68796,8594673,3.224354,99.69,p3_h5_provisional_reference,pending_D1_cross_grid_summary,pending,measured_task032,case080 full3d_h3_reference + memory_h3_schur_minimal,equal-accuracy baseline retained without rerun
p2_h2p5,2,2.5,not_run,not_run,removed_by_reduced_scope,not_run,not_run,13.6485,do_not_run,removed_by_reduced_scope,not_run,not_run,not_run,not_run,not_run,not_run,not_run,not_run,not_run,historical_planning_only,review_report_v5.md,removed from current decision matrix
p2_h2,2,2,not_run,not_run,removed_by_reduced_scope,not_run,not_run,13.6485,do_not_run,removed_by_reduced_scope,not_run,not_run,not_run,not_run,not_run,not_run,not_run,not_run,not_run,historical_planning_only,review_report_v5.md,removed from current decision matrix
p2_h1p5,2,1.5,not_run,not_run,removed_by_reduced_scope,not_run,not_run,13.6485,do_not_run,removed_by_reduced_scope,not_run,not_run,not_run,not_run,not_run,not_run,not_run,not_run,not_run,historical_planning_only,review_report_v5.md,removed from current decision matrix
